date,dram,sram,flash,memory,total
2015-05-01,1591040.0,214630.0,340.0,795192.0,2601200.0
2015-06-01,1803280.0,231574.0,285.0,833026.0,2868160.0
2015-07-01,1666080.0,218704.0,673.0,930670.0,2816130.0
2015-08-01,1541850.0,230143.0,350.0,1244500.0,3016840.0
2015-09-01,1550620.0,216431.0,369.0,1458980.0,3226400.0
2015-10-01,1472310.0,197885.0,359.0,1259960.0,2930520.0
2015-11-01,1387170.0,218424.0,515.0,1139670.0,2745780.0
2015-12-01,1299450.0,194750.0,446.0,1076630.0,2571280.0
2016-01-01,1321990.0,218609.0,366.0,936220.0,2477180.0
2016-02-01,1198820.0,197859.0,157.0,861922.0,2258760.0
2016-03-01,1443180.0,223887.0,518.0,1070870.0,2738450.0
2016-04-01,1193220.0,248081.0,409.0,979302.0,2421010.0
2016-05-01,1401870.0,247094.0,592.0,1144140.0,2793690.0
2016-06-01,1407430.0,234603.0,309.0,1280620.0,2922950.0
2016-07-01,1167910.0,288633.0,596.0,1271670.0,2728810.0
2016-08-01,1395850.0,231241.0,376.0,1510620.0,3138090.0
2016-09-01,1453960.0,244351.0,351.0,1559980.0,3258640.0
2016-10-01,1587400.0,232710.0,302.0,1441610.0,3262030.0
2016-11-01,1496270.0,252996.0,442.0,1723520.0,3473230.0
2016-12-01,1595990.0,259249.0,511.0,1817870.0,3673620.0
2017-01-01,1758860.0,294981.0,453.0,1169550.0,3223850.0
2017-02-01,1766210.0,296980.0,570.0,1251250.0,3315010.0
2017-03-01,2003810.0,336018.0,1037.0,1618260.0,3959120.0
2017-04-01,2182850.0,327608.0,1225.0,1339810.0,3851490.0
2017-05-01,2347260.0,304847.0,377.0,1438100.0,4090580.0
2017-06-01,2423040.0,305980.0,764.0,1963440.0,4693220.0
2017-07-01,2539120.0,369718.0,599.0,1675400.0,4584830.0
2017-08-01,2723360.0,506333.0,435.0,1952750.0,5182880.0
2017-09-01,2908600.0,571713.0,1014.0,2478230.0,5959560.0
2017-10-01,3108000.0,527225.0,1726.0,2693990.0,6330930.0
2017-11-01,2987240.0,496036.0,1004.0,2710320.0,6194600.0
2017-12-01,3205550.0,494807.0,986.0,2713640.0,6414990.0
2018-01-01,3123060.0,559049.0,838.0,2482920.0,6165870.0
2018-02-01,2989990.0,631079.0,424.0,2179610.0,5801100.0
2018-03-01,3619720.0,710801.0,4448.0,2808950.0,7143920.0
2018-04-01,3710820.0,571267.0,1762.0,1956730.0,6240580.0
2018-05-01,4071750.0,704622.0,1556.0,1729080.0,6507010.0
2018-06-01,4142710.0,702934.0,1335.0,1757810.0,6604780.0
2018-07-01,3869120.0,573100.0,5323.0,1341670.0,5789220.0
2018-08-01,4129960.0,595931.0,4162.0,1823560.0,6553610.0
2018-09-01,4488740.0,739130.0,2255.0,2011170.0,7241290.0
2018-10-01,4257810.0,714521.0,5179.0,1862780.0,6840300.0
2018-11-01,4204360.0,655355.0,3045.0,1837130.0,6699890.0
2018-12-01,3239660.0,620023.0,2780.0,1447300.0,5309760.0
2019-01-01,2433170.0,413164.0,3406.0,1245730.0,4095470.0
2019-02-01,2095090.0,370563.0,2893.0,1186940.0,3655480.0
2019-03-01,2898460.0,592383.0,2056.0,1900000.0,5392900.0
2019-04-01,2794260.0,670060.0,2082.0,1591570.0,5057980.0
2019-05-01,2358480.0,472561.0,1416.0,1461960.0,4294420.0
